id,campaign_id,source_id,medium_id,message_main_attachment_id,access_token,name,origin,client_order_ref,reference,state,date_order,validity_date,require_signature,require_payment,create_date,user_id,partner_id,partner_invoice_id,partner_shipping_id,pricelist_id,currency_id,analytic_account_id,invoice_status,note,amount_untaxed,amount_tax,amount_total,currency_rate,payment_term_id,fiscal_position_id,company_id,team_id,signed_by,signed_on,commitment_date,show_update_pricelist,create_uid,write_uid,write_date,order_ref,sale_order_template_id,c_move_id,incoterm,picking_policy,warehouse_id,procurement_group_id,effective_date,invoice_status_job,c_reversed_move_id,auto_generated,auto_purchase_order_id,c_reversed_moves_count,opportunity_id,project_id,po_number,move_entry_id,move_entry_refund_id
2441393,,,,,,S2429639,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:55:35.813130,2,3315,3315,3315,4,74,,to invoice,<p>penalty -635347510571</p>,12.62,1.77,14.39,1,,,1,1,,,,,2,2,2025-06-23 09:55:35.813130,SupplierBalance-5755186,,16219506,,direct,1,,,to_invoice,,,,0,,,,,
2441392,,,,,,S2429638,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:55:34.724585,2,3315,3315,3315,4,74,,to invoice,<p>penalty -635347510571</p>,5.05,0.71,5.76,1,,,1,1,,,,,2,2,2025-06-23 09:55:34.724585,SupplierBalance-5755185,,16219505,,direct,1,,,to_invoice,,,,0,,,,,
2441391,,,,,,S2429637,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:55:01.301281,2,3114,3114,3114,4,74,,to invoice,<p>order_fees -884886450571</p>,53.64,7.51,61.15,1,,,1,1,,,,,2,2,2025-06-23 09:55:01.301281,SupplierBalance-5755179,,16219502,,direct,1,,,to_invoice,,,,0,,,,,
2441390,,,,,,S2429636,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:54:59.229897,2,3215,3215,3215,4,74,,to invoice,<p>order_fees -636556450571</p>,28.53,3.99,32.52,1,,,1,1,,,,,2,2,2025-06-23 09:54:59.229897,SupplierBalance-5755177,,16219500,,direct,1,,,to_invoice,,,,0,,,,,
2441389,,,,,,S2429635,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:54:57.006064,2,3215,3215,3215,4,74,,to invoice,<p>front_margin -636556450571</p>,5.26,0.74,6,1,,,1,1,,,,,2,2,2025-06-23 09:54:57.006064,SupplierBalance-5755176,,16219499,,direct,1,,,to_invoice,,,,0,,,,,
2441388,,,,,,S2429634,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:54:26.253282,2,5306,5306,5306,4,74,,to invoice,<p>order_fees -176849750571-Installment</p>,112.58,15.76,128.34,1,,,1,1,,,,,2,2,2025-06-23 09:54:26.253282,SupplierBalance-5755173,,16219496,,direct,1,,,to_invoice,,,,0,,,,,
2441387,,,,,,S2429633,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:54:22.659231,2,5306,5306,5306,4,74,,to invoice,<p>order_fees -418807750571</p>,88.04,12.33,100.37,1,,,1,1,,,,,2,2,2025-06-23 09:54:22.659231,SupplierBalance-5755172,,16219495,,direct,1,,,to_invoice,,,,0,,,,,
2441386,,,,,,S2429632,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:54:19.340065,2,5306,5306,5306,4,74,,to invoice,<p>order_fees -633369550571</p>,67.99,9.52,77.51,1,,,1,1,,,,,2,2,2025-06-23 09:54:19.340065,SupplierBalance-5755171,,16219494,,direct,1,,,to_invoice,,,,0,,,,,
2441385,,,,,,S2429631,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:54:17.015344,2,5306,5306,5306,4,74,,to invoice,<p>order_fees -38203550571</p>,88.83,12.44,101.27,1,,,1,1,,,,,2,2,2025-06-23 09:54:17.015344,SupplierBalance-5755170,,16219493,,direct,1,,,to_invoice,,,,0,,,,,
2441384,,,,,,S2429630,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:54:15.113985,2,5306,5306,5306,4,74,,to invoice,<p>order_fees -524220550571</p>,127.08,17.79,144.87,1,,,1,1,,,,,2,2,2025-06-23 09:54:15.113985,SupplierBalance-5755169,,16219492,,direct,1,,,to_invoice,,,,0,,,,,
2441383,,,,,,S2429629,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:54:09.580309,2,5306,5306,5306,4,74,,to invoice,<p>order_fees -715899050571</p>,165.14,23.12,188.26,1,,,1,1,,,,,2,2,2025-06-23 09:54:09.580309,SupplierBalance-5755168,,16219491,,direct,1,,,to_invoice,,,,0,,,,,
2441382,,,,,,S2429628,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:54:05.789029,2,154554,154554,154554,4,74,,to invoice,<p>order_fees -063468250571</p>,45.6,6.38,51.98,1,,,1,1,,,,,2,2,2025-06-23 09:54:05.789029,SupplierBalance-5755167,,16219490,,direct,1,,,to_invoice,,,,0,,,,,
2441381,,,,,,S2429627,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:53:51.073584,2,3215,3215,3215,4,74,,to invoice,<p>order_fees -648661250571-Installment</p>,61.61,8.63,70.24,1,,,1,1,,,,,2,2,2025-06-23 09:53:51.073584,SupplierBalance-5755165,,16219485,,direct,1,,,to_invoice,,,,0,,,,,
2441380,,,,,,S2429626,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:53:47.399580,2,3215,3215,3215,4,74,,to invoice,<p>front_margin -648661250571-Installment</p>,21.93,3.07,25,1,,,1,1,,,,,2,2,2025-06-23 09:53:47.399580,SupplierBalance-5755164,,16219483,,direct,1,,,to_invoice,,,,0,,,,,
